,PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,Unnamed: 8
7983,LS20601038,05/03/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,06/03/2020,25.0,0.0,
7984,LS20601038,05/03/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,09/03/2020,25.0,0.0,
7985,LS20601049,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,0.0,0.0,
7986,LS2060105A,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,25.0,0.0,
7987,LS20601060,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,25.0,0.0,
7988,LS20601060,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/03/2020,25.0,0.0,
7989,LS20601071,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,0.0,0.0,
7990,LS20601093,05/03/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,30/03/2020,50.0,0.0,
7991,LS21801699,05/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,05/03/2020,0.0,0.0,
7992,LS21801699,05/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,24/03/2020,0.0,0.0,
7993,LS22600637,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,87 IN DISABLED BAY WITHOUT BADGE,70,05/03/2020,35.0,0.0,
7994,LS22600637,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,87 IN DISABLED BAY WITHOUT BADGE,70,13/03/2020,35.0,0.0,
7995,LS22600637,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,87 IN DISABLED BAY WITHOUT BADGE,70,16/03/2020,35.0,0.0,
7996,LS22600648,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,05/03/2020,25.0,0.0,
7997,LS22600648,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,18/03/2020,25.0,0.0,
7998,LS22600648,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,19/03/2020,25.0,0.0,
7999,LS2260066A,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,05/03/2020,25.0,0.0,
8000,LS2260066A,05/03/2020,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,12/03/2020,25.0,0.0,
8001,LS23602627,05/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,05/03/2020,25.0,0.0,
8002,LS23602627,05/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,18/03/2020,25.0,0.0,
8003,LS23602638,05/03/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,09/03/2020,25.0,0.0,
8004,LS23703715,05/03/2020,ROBIN LANE CP - PUDSEY                                      ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,17/03/2020,25.0,0.0,
8005,LS23703726,05/03/2020,ROBIN LANE CP - PUDSEY                                      ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,05/03/2020,25.0,0.0,
8006,LS23900964,05/03/2020,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,05/03/2020,25.0,0.0,
8007,LS24201665,05/03/2020,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,50.0,0.0,
8008,LS24902590,05/03/2020,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,05/03/2020,0.0,0.0,
8009,LS25600065,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,0.0,0.0,
8010,LS25600065,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,31/03/2020,0.0,0.0,
8011,LS25600087,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/03/2020,25.0,0.0,
8012,LS25600098,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,17/03/2020,25.0,0.0,
8013,LS25600101,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,0.0,0.0,
8014,LS25600112,05/03/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,50.0,0.0,
8015,LS17302833,05/03/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,25.0,0.0,
8016,LS17302833,05/03/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/03/2020,25.0,0.0,
8017,LS17302844,05/03/2020,COURTHOUSE STREET CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2020,25.0,0.0,
8018,LS18305189,05/03/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,0.0,0.0,
8019,LS1830519A,05/03/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/03/2020,50.0,0.0,
